Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
ancmig_adj_1	Round_3_Replicate_10	-3358.36	6736.72	11359.47	107.88	24.6067,0.1335,3.1055,2.6694,0.2341,0.4806,5.5139,4.7189,1.1316,0.7337	
ancmig_adj_1	Round_3_Replicate_9	-3474.65	6969.3	15973.11	142.12	15.2963,0.0738,2.6488,2.6465,0.2233,0.7503,7.2468,2.8067,0.5958,0.7767	
ancmig_adj_1	Round_3_Replicate_7	-3691.42	7402.84	11741.09	122.09	29.7,0.1322,2.7593,2.6886,0.6053,0.3803,3.4316,3.4282,1.0757,0.769	
ancmig_adj_1	Round_3_Replicate_8	-3945.04	7910.08	12487.73	104.99	29.7,0.0842,2.995,3.1077,0.7078,0.4533,3.5632,9.3445,1.4513,1.1658	
ancmig_adj_1	Round_3_Replicate_6	-4123.7	8267.4	25413.39	98.0	29.7,0.2115,2.4558,4.1378,0.4278,0.3312,3.1054,8.2076,1.3494,0.8076	
ancmig_adj_2	Round_3_Replicate_7	-1755.37	3524.74	1662.05	211.39	2.1832,0.8217,9.4383,0.7443,13.7349,4.9353,0.6085	
ancmig_adj_2	Round_3_Replicate_4	-1818.88	3651.76	2265.88	207.68	2.3919,1.149,10.4576,0.5956,9.3204,4.8871,0.4364	
ancmig_adj_2	Round_2_Replicate_1	-1854.94	3723.88	1388.79	230.44	1.3074,1.5752,5.5627,0.7461,17.3204,7.5751,0.4631	
ancmig_adj_2	Round_3_Replicate_5	-2012.72	4039.44	1844.41	245.28	0.8192,2.4012,6.5512,0.7052,11.1293,10.0917,0.3893	
ancmig_adj_2	Round_3_Replicate_9	-2040.37	4094.74	2053.88	253.63	0.7711,2.7367,7.3139,0.7731,17.9352,11.8979,0.3403	
ancmig_adj_3	Round_3_Replicate_7	-2828.98	5673.96	9460.05	169.37	1.1635,12.4489,10.1611,1.2711,3.3676,0.7806,0.1573,1.1018	
ancmig_adj_3	Round_3_Replicate_10	-3418.98	6853.96	21859.3	133.15	1.3379,9.6542,16.1478,1.0984,1.5741,0.8249,0.4773,1.4075	
ancmig_adj_3	Round_3_Replicate_3	-3798.06	7612.12	32257.85	142.81	1.263,6.9176,11.6596,1.0112,2.7793,0.8949,0.528,1.5923	
ancmig_adj_3	Round_3_Replicate_6	-4082.28	8180.56	44348.77	150.24	0.9837,7.3274,10.7164,1.8122,2.867,0.3826,0.4962,1.5468	
ancmig_adj_3	Round_3_Replicate_4	-4316.59	8649.18	48233.1	122.87	1.3918,11.6575,10.3843,1.6989,1.2473,1.1224,0.2448,2.4068	
refugia_adj_1	Round_3_Replicate_1	-2227.89	4473.78	14271.56	180.26	0.7541,2.1299,12.2678,0.8252,0.6424,0.6868,0.3189,1.3291,0.9736	
refugia_adj_1	Round_3_Replicate_7	-2283.95	4585.9	3131.07	182.59	0.6738,3.0342,5.7909,0.8692,0.3357,0.346,0.2572,2.2233,1.1109	
refugia_adj_1	Round_3_Replicate_9	-2297.34	4612.68	4517.14	185.11	0.798,0.9479,6.9163,2.5229,0.3895,0.235,0.2362,1.2066,0.5539	
refugia_adj_1	Round_2_Replicate_2	-2369.4	4756.8	4183.07	178.49	0.5901,1.6898,6.5032,1.4259,0.5032,0.3736,0.3237,2.0277,0.6958	
refugia_adj_1	Round_3_Replicate_4	-2475.07	4968.14	4381.17	163.99	0.5788,2.1161,7.2807,1.6145,0.4484,0.2181,0.2138,2.2809,0.6567	
refugia_adj_2	Round_3_Replicate_1	-2999.77	6015.54	11284.27	278.72	0.415,0.1511,7.728,0.2301,0.7027,1.6995,5.3116,0.8033	
refugia_adj_2	Round_3_Replicate_3	-3374.35	6764.7	7363.05	243.22	0.2781,0.1965,6.9839,0.2345,0.5682,0.7048,6.2303,1.074	
refugia_adj_2	Round_1_Replicate_1	-3851.15	7718.3	28363.56	281.1	0.3401,0.2839,5.9751,0.4125,0.3826,1.3862,5.7253,0.5637	
